line,SVG_score,canopy_height,canopy_volume_index,canopy_coverage,ExGR,NGRDI
PI425487,2.289250588,0.299018678,0.3169351,0.145221976,0.117938529,0.092137454
PI425503,2.787470234,0.347105914,0.420847005,0.170804058,0.166910957,0.107434171
PI425504,3.277614664,0.403581026,0.624732203,0.212715674,0.212522007,0.130932694
PI425506,2.562322479,0.35570697,0.471940559,0.178731945,0.231193677,0.134761791
PI425507,3.016761047,0.359896265,0.444237978,0.174100855,0.209668461,0.117949321
PI425508,2.621054107,0.353792872,0.383365083,0.142762275,0.172632468,0.111500832
PI425509,2.705552212,0.360695176,0.490122872,0.181208115,0.207577479,0.116865707
PI425510,2.84527004,0.355318094,0.433868567,0.165742373,0.208498071,0.119088454
PI425511,3.024765158,0.366248973,0.452167892,0.171235078,0.196047723,0.121945789
PI425512,2.998940219,0.368809223,0.559188697,0.20063579,0.198854079,0.122506977
PI425513,3.081554664,0.365948573,0.54872795,0.20750781,0.208094729,0.123903443
PI425515,2.618331999,0.36035928,0.462409025,0.185580455,0.164537276,0.114472451
PI425517,2.845719048,0.360460579,0.479505879,0.168648321,0.202630367,0.12673161
PI425518,3.291676534,0.37336144,0.592289754,0.218870674,0.236166549,0.129950975
PI425520,2.878899658,0.33325347,0.418293332,0.166214743,0.177292875,0.122599132
PI425522,2.96297503,0.325415569,0.354190409,0.16798205,0.192601962,0.114220127
PI425523,3.167865663,0.347176613,0.529506715,0.214133416,0.233258094,0.137024843
PI425527,3.403356324,0.385960315,0.561291063,0.200067005,0.211567087,0.122888116
PI425528,3.15062081,0.3665696,0.511140211,0.187282117,0.19627392,0.121960633
